Timestamp,Station,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind_Speed,Wind_Direction,PBLH
2022-01-01 00:00:00,Delhi_ITO,51.94,90.92,36.79,12.61,1.13,28.05,16.7,42.7,5.21,306.0,614.4
2022-01-01 01:00:00,Delhi_ITO,68.57,118.66,33.44,19.85,1.38,19.26,13.2,51.9,2.17,211.6,469.7
2022-01-01 02:00:00,Delhi_ITO,111.4,173.28,52.58,17.48,2.36,16.08,13.5,55.0,1.8,261.9,314.4
2022-01-01 03:00:00,Delhi_ITO,146.43,231.4,72.58,28.82,2.66,5.68,10.1,59.7,2.17,286.0,159.1
2022-01-01 04:00:00,Delhi_ITO,170.53,290.75,76.4,20.99,3.06,8.96,9.9,59.2,2.05,335.9,120.0
2022-01-01 05:00:00,Delhi_ITO,153.48,259.03,79.79,19.61,2.97,5.77,10.3,70.0,2.48,280.2,120.0
2022-01-01 06:00:00,Delhi_ITO,170.95,310.72,87.45,24.72,3.31,3.0,6.6,66.8,1.95,283.9,120.0
2022-01-01 07:00:00,Delhi_ITO,189.57,314.97,93.68,27.57,3.62,8.02,9.2,64.3,1.77,286.5,120.0
2022-01-01 08:00:00,Delhi_ITO,166.42,275.9,77.87,23.21,3.24,3.0,8.3,67.7,1.82,217.1,120.0
2022-01-01 09:00:00,Delhi_ITO,153.19,247.05,75.25,23.73,2.79,3.0,9.3,64.3,2.01,316.4,120.0
2022-01-01 10:00:00,Delhi_ITO,156.92,256.84,72.52,23.45,2.87,3.0,9.4,71.2,2.09,314.7,120.0
2022-01-01 11:00:00,Delhi_ITO,113.54,166.72,63.91,18.36,2.17,8.19,11.9,62.1,3.18,322.6,120.0
2022-01-01 12:00:00,Delhi_ITO,122.12,197.96,57.85,23.04,2.04,11.39,11.0,62.4,2.0,30.2,120.0
2022-01-01 13:00:00,Delhi_ITO,118.3,181.88,63.25,28.34,2.14,28.27,11.4,55.9,1.77,238.1,159.1
2022-01-01 14:00:00,Delhi_ITO,52.78,90.77,18.98,14.98,1.01,30.07,13.5,51.6,2.96,230.5,314.4
2022-01-01 15:00:00,Delhi_ITO,35.58,65.09,20.01,14.83,0.64,39.69,15.5,43.8,3.37,318.2,469.7
2022-01-01 16:00:00,Delhi_ITO,41.12,71.91,22.46,11.73,0.94,35.06,15.9,47.7,2.29,276.5,614.4
2022-01-01 17:00:00,Delhi_ITO,36.58,42.54,33.35,19.38,0.74,31.87,16.9,46.7,2.01,250.6,738.7
2022-01-01 18:00:00,Delhi_ITO,22.34,27.34,9.85,11.95,0.4,45.5,16.6,37.7,2.93,278.7,834.0
2022-01-01 19:00:00,Delhi_ITO,41.91,67.89,24.93,20.38,0.88,45.66,17.2,34.3,1.75,265.3,894.0
2022-01-01 20:00:00,Delhi_ITO,26.66,31.66,21.33,12.77,0.24,39.75,16.2,40.9,3.81,359.0,914.4
2022-01-01 21:00:00,Delhi_ITO,31.7,45.23,27.38,16.06,0.95,39.22,20.8,34.0,3.35,20.5,894.0
2022-01-01 22:00:00,Delhi_ITO,41.79,72.9,23.47,17.18,0.79,48.18,15.8,44.1,2.37,224.6,834.0
2022-01-01 23:00:00,Delhi_ITO,44.85,81.03,20.96,16.42,1.11,36.69,15.8,40.1,2.0,230.9,738.7
2022-01-02 00:00:00,Delhi_ITO,61.51,115.56,41.6,11.25,1.55,40.27,14.7,42.2,1.76,259.6,612.5
2022-01-02 01:00:00,Delhi_ITO,29.46,65.07,32.62,9.7,0.88,19.61,15.9,49.9,8.65,262.4,467.7
2022-01-02 02:00:00,Delhi_ITO,97.31,182.02,51.21,22.48,1.78,26.65,12.9,49.9,2.89,259.0,312.5
2022-01-02 03:00:00,Delhi_ITO,140.86,233.77,68.49,24.42,2.85,19.05,13.9,54.8,2.07,282.2,157.2
2022-01-02 04:00:00,Delhi_ITO,180.91,278.51,74.02,25.32,3.27,13.04,9.8,61.6,1.75,272.1,120.0
2022-01-02 05:00:00,Delhi_ITO,152.14,250.48,83.41,29.56,3.0,4.74,10.2,56.3,2.55,235.9,120.0
2022-01-02 06:00:00,Delhi_ITO,128.89,196.72,71.81,25.86,2.55,3.25,7.7,70.9,5.21,248.9,120.0
2022-01-02 07:00:00,Delhi_ITO,139.32,259.27,64.78,22.75,2.9,4.38,11.7,67.6,2.72,351.9,120.0
